timestamp,tag,rss,vms
2025-03-28T12:33:53.788532,After loading graph,12726345728,17617555456
2025-03-28T12:34:01.675851,After creating full edge DataFrame,13507887104,18403246080
2025-03-28T12:34:01.958460,Before matrix creation,13030981632,17922203648
2025-03-28T12:34:02.221352,After matrix creation,13131583488,18284634112
2025-03-28T12:34:02.226636,After step 1,13133680640,18074816512
